model,grid_w,grid_h,n_sensors,start_pos_name,start_x,start_y,seed,total_reward,data_collected,ndr_pct,battery_pct,energy_consumed,efficiency,steps,jains_index,min_collection_rate,mean_collection_rate,starved_sensors,trajectory_file
SmartGreedyV2,200,200,20,corner_GG,200,200,42,2975639.5,26966.0,100.0,2.0,268.5278,100.4222,1381,0.6409,2.06,44.38,5,SmartGreedyV2_200x200_n20_corner_GG_42.npy
SmartGreedyV2,200,200,20,corner_GG,200,200,123,3391407.25,30880.0,100.0,2.0,268.5278,114.9959,1381,0.7332,4.11,50.82,4,SmartGreedyV2_200x200_n20_corner_GG_123.npy
SmartGreedyV2,200,200,20,corner_GG,200,200,456,3721039.01,34125.0,100.0,2.0,268.5278,127.0818,1381,0.6811,3.09,56.16,6,SmartGreedyV2_200x200_n20_corner_GG_456.npy
SmartGreedyV2,200,200,20,corner_GG,200,200,789,3954107.38,36046.0,100.0,2.0,268.5278,134.2356,1381,0.7273,1.03,59.32,4,SmartGreedyV2_200x200_n20_corner_GG_789.npy
SmartGreedyV2,200,200,20,corner_GG,200,200,1337,2656688.34,24056.0,100.0,2.0,268.5278,89.585,1381,0.66,1.03,39.59,5,SmartGreedyV2_200x200_n20_corner_GG_1337.npy
SmartGreedyV2,200,200,20,random_0,112,121,42,6005018.47,54134.0,100.0,2.0,268.5278,201.594,1381,0.9874,65.82,89.09,0,SmartGreedyV2_200x200_n20_random_0_42.npy
SmartGreedyV2,200,200,20,random_0,112,121,123,5877260.64,53410.0,100.0,2.0,268.5278,198.8995,1381,0.9876,71.54,87.9,0,SmartGreedyV2_200x200_n20_random_0_123.npy
SmartGreedyV2,200,200,20,random_0,112,121,456,6127859.48,55098.0,100.0,2.0,268.5278,205.186,1381,0.9898,71.22,90.68,0,SmartGreedyV2_200x200_n20_random_0_456.npy
SmartGreedyV2,200,200,20,random_0,112,121,789,5211406.52,47230.0,100.0,1.95,268.6667,175.795,1384,0.9632,48.87,77.56,0,SmartGreedyV2_200x200_n20_random_0_789.npy
SmartGreedyV2,200,200,20,random_0,112,121,1337,5931976.12,53579.0,100.0,2.0,268.5278,199.5295,1381,0.9843,61.63,88.18,0,SmartGreedyV2_200x200_n20_random_0_1337.npy
SmartGreedyV2,200,200,20,random_1,179,36,42,5344330.76,48346.0,100.0,1.96,268.6389,179.9663,1393,0.9066,22.2,78.88,0,SmartGreedyV2_200x200_n20_random_1_42.npy
SmartGreedyV2,200,200,20,random_1,179,36,123,5524950.52,49959.0,100.0,1.98,268.5833,186.0095,1385,0.9618,46.15,81.98,0,SmartGreedyV2_200x200_n20_random_1_123.npy
SmartGreedyV2,200,200,20,random_1,179,36,456,5508714.44,49741.0,100.0,1.95,268.6667,185.1417,1400,0.9778,61.89,80.75,0,SmartGreedyV2_200x200_n20_random_1_456.npy
SmartGreedyV2,200,200,20,random_1,179,36,789,4228322.2,38305.0,100.0,1.95,268.6667,142.5743,1384,0.8219,24.63,62.9,0,SmartGreedyV2_200x200_n20_random_1_789.npy
SmartGreedyV2,200,200,20,random_1,179,36,1337,4411187.43,39913.0,100.0,1.95,268.6667,148.5597,1382,0.8285,9.25,65.64,3,SmartGreedyV2_200x200_n20_random_1_1337.npy
SmartGreedyV2,200,200,20,random_2,137,28,42,5390299.52,48570.0,100.0,2.0,268.5278,180.8768,1381,0.9008,22.63,79.93,0,SmartGreedyV2_200x200_n20_random_2_42.npy
SmartGreedyV2,200,200,20,random_2,137,28,123,5980512.39,53788.0,100.0,1.99,268.5556,200.2852,1382,0.9832,61.67,88.45,0,SmartGreedyV2_200x200_n20_random_2_123.npy
SmartGreedyV2,200,200,20,random_2,137,28,456,5672594.37,51184.0,100.0,1.97,268.6111,190.5522,1388,0.9788,61.4,83.81,0,SmartGreedyV2_200x200_n20_random_2_456.npy
SmartGreedyV2,200,200,20,random_2,137,28,789,4913108.59,44465.0,100.0,1.95,268.6667,165.5032,1382,0.9208,43.17,73.12,0,SmartGreedyV2_200x200_n20_random_2_789.npy
SmartGreedyV2,200,200,20,random_2,137,28,1337,5619955.61,50558.0,100.0,2.0,268.5278,188.28,1381,0.9206,22.63,83.2,0,SmartGreedyV2_200x200_n20_random_2_1337.npy
SmartGreedyV2,200,200,30,center,100,100,42,6646605.35,59989.0,100.0,2.0,268.5278,223.4009,1381,0.8911,30.73,65.82,0,SmartGreedyV2_200x200_n30_center_42.npy
SmartGreedyV2,200,200,30,center,100,100,123,6815361.7,61667.0,100.0,2.0,268.5278,229.65,1381,0.8829,26.37,67.66,0,SmartGreedyV2_200x200_n30_center_123.npy
SmartGreedyV2,200,200,30,center,100,100,456,5179701.21,46800.0,100.0,2.0,268.5278,174.2842,1381,0.8059,14.77,51.35,1,SmartGreedyV2_200x200_n30_center_456.npy
SmartGreedyV2,200,200,30,center,100,100,789,6093160.17,55210.0,100.0,2.0,268.5278,205.6039,1381,0.8436,29.21,60.57,0,SmartGreedyV2_200x200_n30_center_789.npy
SmartGreedyV2,200,200,30,center,100,100,1337,6305122.55,56993.0,100.0,2.0,268.5278,212.2408,1381,0.8812,32.3,62.53,0,SmartGreedyV2_200x200_n30_center_1337.npy
SmartGreedyV2,200,200,30,corner_00,0,0,42,5789761.87,52085.0,100.0,1.98,268.5833,193.924,1385,0.7361,3.08,56.98,4,SmartGreedyV2_200x200_n30_corner_00_42.npy
SmartGreedyV2,200,200,30,corner_00,0,0,123,6102392.86,54930.0,100.0,1.94,268.6944,204.4324,1403,0.8409,12.15,59.32,1,SmartGreedyV2_200x200_n30_corner_00_123.npy
SmartGreedyV2,200,200,30,corner_00,0,0,456,5391953.04,48499.0,100.0,1.96,268.6389,180.5368,1383,0.6811,4.11,53.13,9,SmartGreedyV2_200x200_n30_corner_00_456.npy
SmartGreedyV2,200,200,30,corner_00,0,0,789,4756864.09,42755.0,100.0,1.99,268.5556,159.2034,1386,0.6268,2.05,46.74,9,SmartGreedyV2_200x200_n30_corner_00_789.npy
SmartGreedyV2,200,200,30,corner_00,0,0,1337,5081073.34,45667.0,100.0,1.96,268.6389,169.9947,1387,0.659,3.07,49.89,8,SmartGreedyV2_200x200_n30_corner_00_1337.npy
