agent,condition,seed,grid,n_sensors,frac_sf7,frac_sf9,frac_sf11,frac_sf12,hhi,entropy,mean_sf_changes,mean_final_sf,ndr
TSP Oracle,300x300/N=30,205,300,30,0.03333333333333333,0.13333333333333333,0.2,0.6333333333333333,0.45999999999999996,1.4328773369500165,50.43333333333333,11.233333333333333,100.0
DQN,300x300/N=30,206,300,30,0.0,0.03333333333333333,0.13333333333333333,0.8333333333333334,0.7133333333333334,0.7703437707962479,0.0,11.766666666666667,70.0
Relational RL,300x300/N=30,206,300,30,0.0,0.06666666666666667,0.3333333333333333,0.6,0.4755555555555555,1.2309595631140104,52.46666666666667,11.466666666666667,96.66666666666667
TSP Oracle,300x300/N=30,206,300,30,0.03333333333333333,0.06666666666666667,0.1,0.8,0.6555555555555557,1.0137576782928113,46.46666666666667,11.533333333333333,100.0
DQN,300x300/N=30,207,300,30,0.0,0.0,0.23333333333333334,0.7666666666666667,0.6422222222222222,0.783776947484701,0.0,11.766666666666667,76.66666666666667
Relational RL,300x300/N=30,207,300,30,0.03333333333333333,0.03333333333333333,0.3333333333333333,0.6,0.47333333333333333,1.2976262297806769,33.766666666666666,11.4,96.66666666666667
TSP Oracle,300x300/N=30,207,300,30,0.03333333333333333,0.06666666666666667,0.23333333333333334,0.6666666666666666,0.5044444444444445,1.303889050536836,66.33333333333333,11.4,100.0
DQN,300x300/N=30,208,300,30,0.0,0.1,0.1,0.8,0.6600000000000001,0.9219280948873623,0.0,11.6,56.666666666666664
Relational RL,300x300/N=30,208,300,30,0.03333333333333333,0.13333333333333333,0.3,0.5333333333333333,0.3933333333333333,1.5559130951758249,41.233333333333334,11.133333333333333,93.33333333333333
TSP Oracle,300x300/N=30,208,300,30,0.0,0.06666666666666667,0.16666666666666666,0.7666666666666667,0.6200000000000001,0.9851717468169148,50.166666666666664,11.633333333333333,100.0
DQN,300x300/N=30,209,300,30,0.0,0.0,0.16666666666666666,0.8333333333333334,0.7222222222222223,0.6500224216483541,0.0,11.833333333333334,66.66666666666666
Relational RL,300x300/N=30,209,300,30,0.0,0.0,0.4,0.6,0.52,0.9709505944546686,49.1,11.6,100.0
TSP Oracle,300x300/N=30,209,300,30,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.6,0.44,1.471602261409798,49.53333333333333,11.2,100.0
DQN,400x400/N=40,200,400,40,0.0,0.0,0.075,0.925,0.8612500000000001,0.38431154412649704,0.0,11.925,45.0
Relational RL,400x400/N=40,200,400,40,0.0,0.05,0.175,0.775,0.63375,0.9411388429774534,36.55,11.675,72.5
TSP Oracle,400x400/N=40,200,400,40,0.025,0.05,0.175,0.75,0.59625,1.1004730368208926,36.0,11.55,100.0
DQN,400x400/N=40,201,400,40,0.0,0.0,0.05,0.95,0.9049999999999999,0.28639695711595625,0.0,11.95,42.5
Relational RL,400x400/N=40,201,400,40,0.0,0.075,0.175,0.75,0.59875,1.0316008492668058,35.75,11.6,77.5
TSP Oracle,400x400/N=40,201,400,40,0.025,0.075,0.15,0.75,0.59125,1.1351435855187133,39.775,11.5,100.0
DQN,400x400/N=40,202,400,40,0.0,0.025,0.15,0.825,0.7037499999999999,0.7725585713084648,0.0,11.775,50.0
Relational RL,400x400/N=40,202,400,40,0.0,0.025,0.25,0.725,0.58875,0.969409849698032,40.95,11.675,85.0
TSP Oracle,400x400/N=40,202,400,40,0.0,0.025,0.075,0.9,0.81625,0.5501234060351945,39.5,11.85,95.0
DQN,400x400/N=40,203,400,40,0.0,0.0,0.1,0.9,0.8200000000000001,0.4689955935892812,0.0,11.9,37.5
Relational RL,400x400/N=40,203,400,40,0.0,0.05,0.175,0.775,0.63375,0.9411388429774534,36.2,11.675,85.0
TSP Oracle,400x400/N=40,203,400,40,0.025,0.0,0.1,0.875,0.77625,0.6338054550605168,33.575,11.775,85.0
DQN,400x400/N=40,204,400,40,0.0,0.0,0.05,0.95,0.9049999999999999,0.28639695711595625,0.0,11.95,32.5
Relational RL,400x400/N=40,204,400,40,0.0,0.025,0.075,0.9,0.81625,0.5501234060351945,33.825,11.85,57.49999999999999
TSP Oracle,400x400/N=40,204,400,40,0.0,0.05,0.225,0.725,0.57875,1.0366587480953524,40.775,11.625,90.0
DQN,400x400/N=40,205,400,40,0.0,0.0,0.125,0.875,0.78125,0.5435644431995964,0.0,11.875,32.5
Relational RL,400x400/N=40,205,400,40,0.0,0.0,0.3,0.7,0.58,0.8812908992306927,35.75,11.7,80.0
TSP Oracle,400x400/N=40,205,400,40,0.025,0.075,0.325,0.575,0.44249999999999995,1.3993648742046385,32.6,11.325,87.5
DQN,400x400/N=40,206,400,40,0.0,0.0,0.125,0.875,0.78125,0.5435644431995964,0.0,11.875,42.5
Relational RL,400x400/N=40,206,400,40,0.0,0.05,0.175,0.775,0.63375,0.9411388429774534,41.625,11.675,72.5
TSP Oracle,400x400/N=40,206,400,40,0.025,0.075,0.15,0.75,0.59125,1.1351435855187133,26.5,11.5,92.5
